REC_NO,XRAY_RA,XRAY_DEC,LABEL,u_mag_auto,err_u_mag_auto,g_mag_auto,err_g_mag_auto,r_mag_auto,err_r_mag_auto,i_mag_auto,err_i_mag_auto,z_mag_auto,err_z_mag_auto,Separation
2376,14.234299659729004,-0.03414519503712654,0,24.8536,0.694,25.7529,0.548,23.8784,0.1629,22.3105,0.0631,21.6069,0.1293,7.07934725248147
2376,14.234299659729004,-0.03414519503712654,0,25.9019,3.1437,23.2583,0.1086,21.8448,0.0497,20.6626,0.0269,20.1683,0.0641,7.744136193505521
2376,14.234299659729004,-0.03414519503712654,0,25.1721,1.0276,24.7327,0.2526,23.7889,0.1688,23.3256,0.16,23.4587,0.7212,8.103298917005123
2381,14.248373985290527,0.45256465673446655,1,11.7352,6.0E-4,11.4158,2.0E-4,11.5725,2.0E-4,10.7998,2.0E-4,10.4732,4.0E-4,0.9080843270463261
2613,15.167367935180664,0.44641536474227905,0,27.2451,8.8473,24.7116,0.3464,22.6157,0.083,22.0545,0.0822,21.2898,0.1269,7.788388214951285
2613,15.167367935180664,0.44641536474227905,0,23.1676,0.2728,21.2058,0.0245,20.0205,0.014,19.6,0.0144,19.3284,0.0327,9.356590585201912
2613,15.167367935180664,0.44641536474227905,1,24.7275,0.5203,25.4627,0.3758,24.1669,0.1807,24.0975,0.2743,23.5659,0.513,0.3560718796472982
2613,15.167367935180664,0.44641536474227905,0,99.0,99.0,25.6844,0.86,23.782,0.236,22.8834,0.1752,22.4761,0.3627,6.772017108082573
2681,15.420876502990723,-0.5474808812141418,0,23.9744,0.3932,23.507,0.1048,23.2262,0.1233,22.898,0.1282,22.1971,0.2408,9.776115454695201
2681,15.420876502990723,-0.5474808812141418,0,23.9245,0.3559,23.8761,0.134,23.3546,0.1285,23.1076,0.1443,22.4405,0.2773,2.960304207757679
2698,15.484007835388184,0.47085943818092346,0,19.5406,0.0292,17.7151,0.004,16.8065,0.0027,16.3888,0.0027,16.0695,0.0058,6.059913855394905
2698,15.484007835388184,0.47085943818092346,0,27.4837,6.7052,24.6408,0.2158,24.155,0.2007,23.8249,0.2352,22.9313,0.3406,7.731291494665267
2717,15.568498611450195,-0.026473991572856903,1,21.6448,0.0739,21.1735,0.0209,21.0567,0.0235,20.5293,0.0213,20.2964,0.0572,5.403005131544359
2717,15.568498611450195,-0.026473991572856903,0,25.761,1.9363,23.4977,0.0971,21.9219,0.041,20.5544,0.0212,19.8717,0.0407,4.530164927505701
2792,15.869787216186523,-0.2871635854244232,1,20.748,0.0471,18.3714,0.0053,16.8792,0.0027,15.6033,0.0015,14.9141,0.0028,2.815112209052146
2836,16.038145065307617,0.14622533321380615,1,18.8628,0.0206,17.4876,0.0036,16.7977,0.0028,16.3634,0.0026,16.105,0.0062,2.6117702424311315
2949,16.628488540649414,0.27631279826164246,0,17.3618,0.0082,16.2201,0.0019,15.8439,0.0017,15.6961,0.0018,15.6672,0.0045,7.909096243644799
2949,16.628488540649414,0.27631279826164246,1,21.379,0.0988,20.6388,0.0221,19.7097,0.015,19.2245,0.0146,19.1238,0.0465,4.351688777579347
3045,16.982566833496094,0.3867386281490326,0,99.0,99.0,25.4245,0.3454,24.7536,0.2832,24.5,0.3436,23.9979,0.8594,8.819441398805203
3045,16.982566833496094,0.3867386281490326,0,99.0,99.0,25.6676,0.5032,24.5057,0.2696,24.0722,0.2793,25.1908,3.0819,8.891066533095382
3045,16.982566833496094,0.3867386281490326,0,24.7135,0.8463,22.864,0.0722,21.9997,0.0502,21.7836,0.0609,22.0737,0.2941,2.694739124062803
3045,16.982566833496094,0.3867386281490326,1,24.4139,0.5799,23.6204,0.1201,23.6544,0.178,23.0001,0.1523,22.8441,0.5174,1.3320687048263091
